"자치구","대여소명","기준년월","대여건수","반납건수"
"마포구","108. 서교동 사거리","202407","1597","1609"
"양천구","729. 서부식자재마트 건너편","202407","1932","2113"
"양천구","731. 서울시 도로환경관리센터","202407","3580","3698"
"양천구","732. 신월중학교","202407","865","865"
"양천구","733. 신정이펜하우스314동","202407","587","401"
"양천구","734. 신트리공원 입구","202407","3344","3396"
"양천구","735. 영도초등학교","202407","3215","3250"
"양천구","736. 오솔길공원","202407","1186","1303"
"양천구","737. 장수공원","202407","858","842"
"양천구","739. 신월사거리","202407","1638","1660"
"양천구","740. 으뜸공원","202407","1005","1082"
"양천구","741. 화곡로 입구 교차로","202407","382","379"
"양천구","742. 등촌역 5번 출구 뒤","202407","944","932"
"양천구","743. 현대6차아파트 101동 옆","202407","1117","1178"
"양천구","744. 신목동역 2번 출구","202407","3897","3655"
"양천구","745. 강서초등학교","202407","663","751"
"양천구","746. 목동2단지 상가","202407","4485","4479"
"양천구","747. 목동3단지 상가","202407","3043","3047"
"양천구","748. 목동운동장","202407","657","682"
"광진구","505. 자양사거리 광진아크로텔 앞","202407","2254","2217"
"은평구","934. 신사동 성당","202407","188","124"
"은평구","937. 상림마을 롯데캐슬2단지 옆","202407","126","124"
"은평구","938. 금암 문화공원","202407","205","210"
"은평구","939. 은평구청 교차로","202407","711","692"
"은평구","941. 은평뉴타운 도서관","202407","632","285"
"은평구","942. 상림마을 생태공원","202407","412","420"
"은평구","943. 은평구청 보건소","202407","1731","2029"
"성동구","506. 금호 어울림 아파트 앞","202407","899","863"
"은평구","945. 기자촌 사거리 A","202407","126","86"
"은평구","946. 독바위역 ","202407","715","697"
"은평구","947. 연신내 선일하이츠빌 정류소","202407","386","388"
"은평구","948. 디지털미디어 시티역 4번출구(DMC역)","202407","793","787"
"은평구","949. 연신내역 1번 출구 ","202407","1229","1489"
"은평구","950. 구산역 2번 출구 예일여고 버스정류장","202407","1027","1189"
"은평구","952. 서울연신중학교","202407","493","464"
"은평구","953. 서울연신초등학교","202407","378","356"
"강동구","1023. 한국종합기술사옥 앞","202407","2208","2333"
"강동구","1024.  강동구청 앞","202407","3745","3785"
"강동구","1025. 상일초등학교","202407","663","651"
"강동구","1027. 프라자 아파트 앞","202407","1111","1128"
"강동구","1028. 포레스 주상복합 빌딩","202407","1882","1874"
"강동구","1029. 성내어울터","202407","3376","3342"
"강동구","1030. 미호 플랜트 앞","202407","1735","1725"
"강동구","1032. 선사고등학교","202407","740","803"
"성동구","508. 성수아카데미타워 앞","202407","2432","1964"
"강동구","1033. 고덕동 아남아파트","202407","1195","1001"
"강동구","1034. 고덕동 래미안 힐스테이트","202407","440","393"
"강동구","1036. 고덕동 주양쇼핑","202407","1205","1129"
"강동구","1037. 강일리버파크 6단지","202407","91","103"
